# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-7.524e-4,-0.046,-0.468,0.046,0.468,0,0,0,0,0,0,34,-107,0.999,90.374,0,0,0,31.054,8.058,14.854,0.073,NaN,1.692,NaN,0.02,9.794e5,161.698,-1.164e-7,0.512,-3.56e-7,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.655e-7,0.131,0.013,90,0,7.031,33.904,867.369,351.845,0.01,0.046
0.02,9.563e-4,0.058,0.595,0.058,0.595,0,0,0,0,0,0,34,-107,0.999,89.522,0,0,0,31.047,8.051,14.851,0.073,NaN,1.692,NaN,0.02,9.742e5,485.095,2.403e-7,0.513,7.43e-7,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.188e-7,0.131,0.013,90,0,6.993,33.904,867.369,351.845,0.01,0.058
0.03,0.006,0.221,1.657,0.221,1.657,0,0,0,0,0,0,34,-107,0.999,88.182,0,0,0,31.041,8.045,14.848,0.073,NaN,1.692,NaN,0.02,9.694e5,808.492,1.295e-5,0.513,4.045e-5,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.722e-6,0.131,0.013,90,0,6.955,33.904,867.369,351.845,0.01,0.067
0.04,0.017,0.488,2.721,0.488,2.721,0,0,0,0,0,0,34,-107,0.999,85.969,0,0,0,31.034,8.038,14.845,0.073,NaN,1.692,NaN,0.02,9.661e5,1131.889,1.37e-4,0.513,4.309e-4,0.391,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.011e-6,0.131,0.013,90,0,6.918,33.904,867.369,351.845,0.01,0.072
0.05,0.039,0.859,3.784,0.859,3.784,0,0,0,0,0,0,34,-107,0.999,82.887,0,0,0,31.028,8.032,14.842,0.073,NaN,1.692,NaN,0.02,9.659e5,1455.286,7.276e-4,0.513,0.002,0.391,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.059e-5,0.131,0.013,90,0,6.88,33.904,867.368,351.845,0.01,0.077
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.075,1.334,4.848,1.334,4.848,0,0,0,0,0,0,34,-107,0.999,79.021,0,0,0,31.021,8.025,14.839,0.073,NaN,1.692,NaN,0.02,9.757e5,1778.683,0.003,0.512,0.008,0.39,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.645e-5,0.131,0.013,90,0,6.876,33.904,867.368,351.845,0.01,0.082
0.07,0.128,1.914,5.913,1.914,5.913,0,0,0,0,0,0,34,-107,0.999,74.438,0,0,0,31.015,8.019,14.836,0.073,NaN,1.692,NaN,0.02,9.937e5,2102.08,0.007,0.511,0.022,0.388,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.36e-5,0.131,0.013,90,0,6.872,33.904,867.367,351.845,0.01,0.088
0.08,0.202,2.598,6.978,2.598,6.978,0,0,0,0,0,0,34,-107,0.999,69.278,0,0,0,31.008,8.012,14.834,0.073,NaN,1.691,NaN,0.021,1.023e6,2425.477,0.017,0.509,0.048,0.386,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.203e-5,0.131,0.013,90,0,6.867,33.904,867.365,351.845,0.01,0.093
0.09,0.3,3.354,7.712,3.354,7.712,0,0,0,0,0,0,34,-107,0.999,63.955,0,0,0,30.997,8.001,14.828,0.073,NaN,1.691,NaN,0.022,1.064e6,2647.848,0.034,0.506,0.088,0.383,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.135e-5,0.131,0.013,90,0,6.863,33.904,867.363,351.845,0.01,0.1
0.1,0.423,4.115,7.762,4.115,7.762,0,0,0,0,0,0,34,-107,0.999,59.038,0,0,0,30.983,7.987,14.822,0.073,NaN,1.691,NaN,0.023,1.114e6,2661.853,0.058,0.502,0.136,0.38,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.074e-5,0.131,0.013,90,0,6.859,33.904,867.361,351.844,0.01,0.107
0.11,0.57,4.879,7.791,4.879,7.791,0,0,0,0,0,0,34,-107,0.999,54.58,0,0,0,30.97,7.974,14.816,0.073,NaN,1.691,NaN,0.024,1.173e6,2669.543,0.088,0.499,0.188,0.376,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.015e-5,0.131,0.013,90,0,6.86,33.903,867.359,351.844,0.01,0.115
0.12,0.743,5.646,7.82,5.646,7.82,0,0,0,0,0,0,34,-107,0.999,50.553,0,0,0,30.957,7.961,14.81,0.073,NaN,1.69,NaN,0.025,1.238e6,2677.233,0.126,0.495,0.241,0.372,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.961e-5,0.131,0.013,90,0,6.862,33.903,867.355,351.844,0.01,0.123
0.13,0.941,6.415,7.849,6.415,7.849,0,0,0,0,0,0,34,-107,0.999,46.931,0,0,0,30.944,7.948,14.805,0.073,NaN,1.69,NaN,0.027,1.309e6,2684.924,0.171,0.491,0.292,0.368,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.909e-5,0.131,0.013,90,0,6.863,33.903,867.352,351.844,0.01,0.13
0.14,1.164,7.187,7.878,7.187,7.878,0,0,0,0,0,0,34,-107,0.999,43.682,0,0,0,30.931,7.934,14.799,0.073,NaN,1.69,NaN,0.028,1.384e6,2692.614,0.221,0.487,0.339,0.364,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.862e-5,0.131,0.013,90,0,6.864,33.902,867.348,351.844,0.01,0.138
0.15,1.412,7.963,7.907,7.963,7.907,0,0,0,0,0,0,34,-107,0.999,40.768,0,0,0,30.917,7.921,14.793,0.072,NaN,1.69,NaN,0.03,1.465e6,2700.305,0.278,0.483,0.381,0.361,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.817e-5,0.131,0.013,90,0,6.865,33.902,867.343,351.843,0.01,0.142
0.16,1.686,8.741,7.936,8.741,7.936,0,0,0,0,0,0,34,-107,0.999,38.197,0,0,0,30.904,7.908,14.787,0.072,NaN,1.689,NaN,0.032,1.549e6,2707.995,0.341,0.479,0.417,0.357,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.078e-4,0.131,0.013,90,0,6.878,33.901,867.338,351.843,0.01,0.15
0.17,1.986,9.522,7.965,9.522,7.965,0,0,0,0,0,0,34,-107,0.999,35.889,0,0,0,30.891,7.895,14.781,0.072,NaN,1.689,NaN,0.033,1.637e6,2715.685,0.409,0.476,0.447,0.353,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.174e-4,0.131,0.013,90,0,6.89,33.901,867.333,351.843,0.01,0.156
0.18,2.311,10.305,7.994,10.305,7.994,0,0,0,0,0,0,34,-107,0.999,33.811,0,0,0,30.878,7.882,14.775,0.072,NaN,1.689,NaN,0.035,1.728e6,2723.376,0.482,0.472,0.473,0.35,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.271e-4,0.131,0.013,90,0,6.902,33.9,867.327,351.842,0.01,0.16
0.19,2.662,11.092,8.023,11.092,8.023,0,0,0,0,0,0,34,-107,0.999,31.936,0,0,0,30.864,7.868,14.769,0.072,NaN,1.688,NaN,0.037,1.821e6,2731.066,0.559,0.469,0.495,0.346,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.368e-4,0.131,0.013,90,0,6.914,33.9,867.32,351.842,0.01,0.166
0.2,3.039,11.881,8.052,11.881,8.052,0,0,0,0,0,0,34,-107,0.999,30.239,0,0,0,30.851,7.855,14.763,0.072,NaN,1.688,NaN,0.039,1.916e6,2738.757,0.641,0.466,0.513,0.343,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.465e-4,0.131,0.013,90,0,6.926,33.899,867.313,351.842,0.01,0.171
0.21,3.442,12.674,8.081,12.674,8.081,0,0,0,0,0,0,34,-107,0.999,28.736,0,0,0,30.838,7.842,14.757,0.072,NaN,1.688,NaN,0.041,2.013e6,2746.447,0.728,0.463,0.527,0.34,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.563e-4,0.131,0.013,90,0,6.949,33.898,867.306,351.841,0.01,0.176
0.22,3.871,13.469,8.11,13.469,8.11,0,0,0,0,0,0,34,-107,0.999,27.367,0,0,0,30.825,7.829,14.751,0.072,NaN,1.688,NaN,0.043,2.113e6,2754.138,0.819,0.46,0.538,0.337,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.661e-4,0.131,0.013,90,0,6.972,33.897,867.298,351.841,0.01,0.183
0.23,4.326,14.267,8.139,14.267,8.139,0,0,0,0,0,0,34,-107,0.999,26.117,0,0,0,30.812,7.815,14.745,0.072,NaN,1.687,NaN,0.045,2.213e6,2761.828,0.913,0.457,0.547,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.759e-4,0.131,0.013,90,0,6.995,33.897,867.29,351.84,0.01,0.19
0.24,4.807,15.067,8.168,15.067,8.168,0,0,0,0,0,0,34,-107,0.999,24.973,0,0,0,30.798,7.802,14.739,0.072,NaN,1.687,NaN,0.047,2.315e6,2769.518,1.018,0.457,0.557,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.858e-4,0.131,0.013,90,0,7.017,33.896,867.281,351.84,0.01,0.196
0.25,5.314,15.871,8.197,15.871,8.197,0,0,0,0,0,0,34,-107,0.999,23.922,0,0,0,30.785,7.789,14.733,0.072,NaN,1.687,NaN,0.049,2.419e6,2777.182,1.127,0.457,0.566,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957e-4,0.131,0.013,90,0,7.04,33.895,867.272,351.839,0.01,0.203
0.26,5.848,16.677,8.216,16.677,8.216,0,0,0,0,0,0,34,-107,0.999,22.746,0,0,0,30.771,7.775,14.727,0.072,NaN,1.687,NaN,0.051,2.519e6,2781.738,1.241,0.457,0.574,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.056e-4,0.131,0.013,90,0,6.992,33.894,867.262,351.839,0.01,0.208
0.27,6.409,17.483,8.227,17.483,8.227,0,0,0,0,0,0,34,-107,0.999,21.66,0,0,0,30.758,7.762,14.721,0.072,NaN,1.686,NaN,0.053,2.62e6,2784.16,1.358,0.457,0.58,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.156e-4,0.131,0.013,90,0,6.943,33.893,867.252,351.838,0.01,0.216
0.28,6.995,18.291,8.239,18.291,8.239,0,0,0,0,0,0,34,-107,0.999,20.654,0,0,0,30.744,7.748,14.715,0.072,NaN,1.686,NaN,0.056,2.723e6,2786.582,1.479,0.457,0.585,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.255e-4,0.131,0.013,90,0,6.895,33.892,867.241,351.837,0.01,0.221
0.29,7.609,19.1,8.251,19.1,8.251,0,0,0,0,0,0,34,-107,0.999,19.72,0,0,0,30.731,7.734,14.708,0.072,NaN,1.686,NaN,0.058,2.826e6,2789.004,1.603,0.457,0.589,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.355e-4,0.131,0.013,90,0,6.846,33.891,867.23,351.837,0.01,0.225
0.3,8.249,19.91,8.262,19.91,8.262,0,0,0,0,0,0,34,-107,0.999,18.851,0,0,0,30.717,7.721,14.702,0.072,NaN,1.685,NaN,0.06,2.93e6,2791.426,1.731,0.457,0.592,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.455e-4,0.131,0.013,90,0,6.798,33.89,867.218,351.836,0.01,0.229
0.31,8.915,20.721,8.274,20.721,8.274,0,0,0,0,0,0,34,-107,0.999,18.194,0,0,0,30.703,7.707,14.696,0.072,NaN,1.685,NaN,0.062,3.038e6,2793.848,1.865,0.457,0.593,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.555e-4,0.131,0.013,90,0,6.81,33.889,867.206,351.835,0.01,0.233
0.32,9.608,21.534,8.286,21.534,8.286,0,0,0,0,0,0,34,-107,0.999,17.581,0,0,0,30.69,7.694,14.69,0.072,NaN,1.685,NaN,0.064,3.146e6,2796.27,2.003,0.457,0.594,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.655e-4,0.131,0.013,90,0,6.823,33.887,867.194,351.835,0.01,0.238
0.33,10.328,22.347,8.298,22.347,8.298,0,0,0,0,0,0,34,-107,0.999,17.007,0,0,0,30.676,7.68,14.684,0.072,NaN,1.685,NaN,0.066,3.255e6,2798.692,2.144,0.457,0.594,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.755e-4,0.131,0.013,90,0,6.835,33.886,867.18,351.834,0.01,0.242
0.34,11.075,23.162,8.309,23.162,8.309,0,0,0,0,0,0,34,-107,0.999,16.471,0,0,0,30.662,7.666,14.677,0.072,NaN,1.684,NaN,0.069,3.364e6,2801.115,2.289,0.457,0.593,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.856e-4,0.131,0.013,90,0,6.848,33.885,867.167,351.833,0.01,0.246
0.35,11.848,23.978,8.321,23.978,8.321,0,0,0,0,0,0,34,-107,0.999,15.967,0,0,0,30.649,7.653,14.671,0.072,NaN,1.684,NaN,0.071,3.474e6,2803.537,2.436,0.457,0.592,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.956e-4,0.131,0.013,90,0,6.86,33.883,867.153,351.832,0.01,0.254
0.36,12.648,24.795,8.333,24.795,8.333,0,0,0,0,0,0,34,-107,0.999,15.506,0,0,0,30.635,7.639,14.665,0.072,NaN,1.684,NaN,0.073,3.584e6,2805.959,2.587,0.457,0.591,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.057e-4,0.131,0.013,90,0,6.879,33.882,867.138,351.831,0.01,0.258
0.37,13.475,25.613,8.344,25.613,8.344,0,0,0,0,0,0,34,-107,0.999,15.073,0,0,0,30.622,7.625,14.659,0.072,NaN,1.683,NaN,0.075,3.695e6,2808.381,2.74,0.457,0.589,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.158e-4,0.131,0.013,90,0,6.898,33.88,867.123,351.83,0.01,0.262
0.38,14.329,26.432,8.356,26.432,8.356,0,0,0,0,0,0,34,-107,0.999,14.664,0,0,0,30.608,7.612,14.652,0.072,NaN,1.683,NaN,0.078,3.805e6,2810.803,2.897,0.457,0.587,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.259e-4,0.131,0.013,90,0,6.917,33.879,867.107,351.83,0.01,0.266
0.39,15.209,27.252,8.368,27.252,8.368,0,0,0,0,0,0,34,-107,0.999,14.278,0,0,0,30.594,7.598,14.646,0.072,NaN,1.683,NaN,0.08,3.917e6,2813.225,3.056,0.457,0.585,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36e-4,0.131,0.013,90,0,6.936,33.877,867.091,351.829,0.01,0.269
0.4,16.117,28.074,8.379,28.074,8.379,0,0,0,0,0,0,34,-107,0.999,13.913,0,0,0,30.581,7.585,14.64,0.072,NaN,1.683,NaN,0.082,4.028e6,2815.647,3.219,0.457,0.582,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.461e-4,0.131,0.013,90,0,6.954,33.876,867.075,351.828,0.01,0.273
0.41,17.052,28.897,8.391,28.897,8.391,0,0,0,0,0,0,34,-107,0.999,13.503,0,0,0,30.567,7.571,14.634,0.072,NaN,1.682,NaN,0.084,4.139e6,2818.069,3.381,0.457,0.579,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.563e-4,0.131,0.013,90,0,6.939,33.874,867.058,351.827,0.01,0.277
0.42,18.013,29.721,8.403,29.721,8.403,0,0,0,0,0,0,34,-107,0.999,13.113,0,0,0,30.553,7.557,14.627,0.072,NaN,1.682,NaN,0.087,4.25e6,2820.404,3.546,0.457,0.576,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.664e-4,0.131,0.013,90,0,6.924,33.872,867.04,351.826,0.01,0.282
# Event LAUNCHROD occurred at t=0.43 seconds
0.43,19.002,30.545,8.411,30.545,8.411,0,0,0,0,0,0,34,-107,0.999,12.744,0,0,0,30.54,7.543,14.621,0.072,NaN,1.682,NaN,0.089,4.362e6,2821.934,3.713,0.457,0.573,0.334,0.041,0.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.766e-4,0.131,0.013,90,0,6.908,33.871,867.022,351.825,0.01,0.287
0.445,20.536,31.784,8.423,31.784,8.423,-2.326e-4,0,2.326e-4,-180,0.009,0.065,34,-107,0.999,12.206,0,7.38e-5,4.395e-8,30.519,7.523,14.612,0.072,1.707,1.681,0.198,0.092,4.529e6,2823.601,3.969,0.457,0.568,0.334,0.041,0.082,2.763,0.548,-3.284e-4,0,0,0,0,8.75e-7,3.919e-4,0.131,0.013,90,-0.017,6.885,33.868,866.994,351.823,0.015,0.29
0.468,22.95,33.645,8.439,33.645,8.44,-0.001,0,0.001,-180,0.024,0.064,34,-107,0.999,11.207,0,2.169e-4,1.663e-8,30.488,7.492,14.597,0.072,1.716,1.681,0.269,0.097,4.777e6,2826.102,4.335,0.457,0.557,0.334,0.041,0.083,2.451,0.659,-2.168e-4,0,0,0,0,6.796e-6,4.148e-4,0.131,0.013,89.999,-0.009,6.691,33.864,866.95,351.82,0.023,0.293
0.501,26.831,36.444,8.464,36.444,8.465,-0.005,-1.209e-8,0.005,-180,0.044,0.061,34,-107,0.999,9.806,0,5.101e-4,2.478e-8,30.441,7.445,14.576,0.072,1.729,1.68,0.378,0.105,5.151e6,2829.854,4.897,0.457,0.542,0.334,0.041,0.083,2.038,0.771,-1.892e-4,0,0,0,0,3.231e-5,4.493e-4,0.131,0.013,89.994,-0.003,6.347,33.857,866.879,351.816,0.034,0.298
0.551,33.151,40.608,8.501,40.608,8.501,-0.015,-5.35e-8,0.015,-180,0.075,0.065,34,-107,0.999,8.964,0,0.001,-3.233e-7,30.372,7.376,14.544,0.072,1.738,1.678,0.457,0.117,5.725e6,2835.44,5.941,0.458,0.532,0.333,0.041,0.083,1.805,0.825,-3.608e-4,0,0,0,0,1.189e-4,5.007e-4,0.131,0.013,89.98,0.002,6.495,33.846,866.764,351.809,0.05,0.304
0.601,40.155,44.791,8.54,44.791,8.54,-0.03,-1.388e-7,0.03,-180,0.109,0.073,34,-107,0.999,8.807,0,0.002,-3.762e-7,30.303,7.307,14.512,0.072,1.74,1.677,0.482,0.129,6.312e6,2841.76,7.2,0.458,0.53,0.333,0.041,0.083,1.763,0.85,-3.174e-4,0,0,0,0,2.766e-4,5.522e-4,0.131,0.013,89.954,0.003,7.086,33.833,866.636,351.802,0.05,0.311
0.651,47.847,48.987,8.566,48.987,8.566,-0.051,-2.713e-7,0.051,-180,0.146,0.073,34,-107,0.999,8.179,0,0.003,-5.657e-7,30.234,7.238,14.48,0.072,1.747,1.675,0.549,0.141,6.892e6,2844.234,8.466,0.458,0.523,0.333,0.041,0.083,1.597,0.876,4.3e-4,0,0,0,0,5.253e-4,6.04e-4,0.131,0.013,89.913,0.003,7.262,33.82,866.496,351.794,0.05,0.317
0.701,56.227,53.194,8.588,53.194,8.589,-0.078,-4.319e-7,0.078,-180,0.179,0.062,34,-107,0.999,7.147,0,0.004,-2.852e-7,30.165,7.169,14.447,0.072,1.76,1.674,0.657,0.152,7.466e6,2845.649,9.705,0.458,0.511,0.333,0.041,0.084,1.338,0.878,-1.914e-4,0,0,0,0,8.828e-4,6.558e-4,0.131,0.013,89.854,0.004,6.987,33.805,866.343,351.785,0.05,0.321
0.751,65.299,57.411,8.61,57.412,8.611,-0.11,-5.544e-7,0.11,-180,0.208,0.054,34,-107,0.999,6.636,0,0.005,-7.845e-7,30.096,7.1,14.415,0.072,1.766,1.672,0.72,0.164,8.05e6,2847.064,11.158,0.459,0.505,0.333,0.042,0.084,1.216,0.874,-2.36e-4,0,0,0,0,0.001,7.078e-4,0.131,0.013,89.773,0.004,7.117,33.789,866.177,351.775,0.05,0.324
0.801,75.064,61.64,8.632,61.64,8.632,-0.145,-5.91e-7,0.145,-180,0.229,0.033,34,-107,0.999,5.82,0,0.007,-4.901e-7,30.026,7.03,14.382,0.071,1.778,1.671,0.819,0.176,8.629e6,2848.287,12.6,0.459,0.496,0.333,0.042,0.084,1.029,0.841,-3.02e-4,0,0,0,0,0.002,7.6e-4,0.131,0.013,89.667,0.004,6.874,33.771,865.999,351.764,0.05,0.328
0.851,85.523,65.878,8.652,65.879,8.652,-0.184,-4.56e-7,0.184,-180,0.24,0.009,34,-107,0.999,5.157,0,0.008,1.225e-8,29.957,6.961,14.349,0.071,1.788,1.669,0.908,0.188,9.213e6,2849.32,14.169,0.459,0.49,0.333,0.042,0.085,0.885,0.8,-3.394e-4,0,0,0,0,0.003,8.122e-4,0.131,0.013,89.533,0.003,6.727,33.753,865.808,351.753,0.05,0.333
0.901,96.678,70.126,8.672,70.127,8.672,-0.224,-5.999e-8,0.224,-180,0.239,0.014,34,-107,0.999,4.854,0,0.01,5.8e-7,29.888,6.891,14.316,0.071,1.793,1.668,0.957,0.2,9.804e6,2850.353,15.958,0.46,0.487,0.333,0.042,0.085,0.822,0.783,4.41e-4,0,0,0,0,0.003,8.646e-4,0.131,0.013,89.369,0.003,6.973,33.733,865.604,351.741,0.05,0.336
0.951,108.531,74.385,8.692,74.385,8.692,-0.262,6.342e-7,0.262,180,0.224,0.05,34,-107,0.999,4.305,0,0.012,-2.211e-8,29.818,6.822,14.283,0.071,1.802,1.666,1.039,0.212,1.039e7,2851.392,17.753,0.46,0.482,0.332,0.042,0.086,0.71,0.733,-5.018e-5,0,0,0,0,0.004,9.171e-4,0.131,0.013,89.172,0.002,6.906,33.712,865.388,351.729,0.05,0.339
1.001,121.083,78.652,8.711,78.652,8.712,-0.296,1.563e-6,0.296,180,0.19,0.088,34,-107,0.999,3.984,0,0.014,1.308e-6,29.749,6.753,14.249,0.071,1.808,1.665,1.094,0.224,1.098e7,2852.451,19.739,0.46,0.48,0.332,0.042,0.086,0.647,0.703,-4.595e-4,0,0,0,0,0.005,9.697e-4,0.131,0.013,88.938,9.314e-4,7.134,33.69,865.159,351.715,0.05,0.342
1.051,134.336,82.929,8.73,82.929,8.731,-0.323,2.633e-6,0.323,180,0.135,0.139,34,-107,0.999,3.462,-5.478e-9,0.016,-3.274e-7,29.679,6.683,14.216,0.071,1.817,1.663,1.179,0.237,1.158e7,2853.512,21.745,0.461,0.476,0.332,0.042,0.087,0.548,0.64,1.608e-4,0,0,0,0,0.006,0.001,0.131,0.013,88.668,7.111e-5,7.09,33.667,864.917,351.701,0.05,0.346
1.101,148.291,87.215,8.748,87.215,8.751,-0.339,3.605e-6,0.339,179.999,0.053,0.197,34,-107,0.999,3.009,0,0.018,-6.772e-7,29.61,6.614,14.182,0.071,1.826,1.662,1.258,0.249,1.217e7,2854.633,23.889,0.461,0.473,0.332,0.042,0.087,0.466,0.579,4.821e-4,0,0,0,0,0.007,0.001,0.131,0.013,88.358,-2.352e-4,7.148,33.642,864.662,351.686,0.05,0.352
1.151,162.95,91.511,8.768,91.511,8.772,-0.339,4.429e-6,0.339,179.999,0.059,0.262,34,-107,0.999,2.605,5.425e-9,0.02,7.683e-7,29.54,6.544,14.148,0.071,1.834,1.66,1.333,0.261,1.277e7,2856.486,26.167,0.462,0.471,0.332,0.043,0.088,0.395,0.519,3.986e-4,0,0,0,0,0.008,0.001,0.131,0.013,88.01,-2.411e-4,7.295,33.616,864.394,351.67,0.05,0.355
1.201,178.315,95.817,8.788,95.818,8.795,-0.317,5.213e-6,0.317,179.999,0.208,0.344,34,-107,0.999,1.977,0,0.022,-2.756e-7,29.471,6.475,14.114,0.071,1.848,1.658,1.447,0.273,1.336e7,2858.555,28.476,0.462,0.468,0.331,0.043,0.088,0.29,0.41,-4.575e-4,0,0,0,0,0.009,0.001,0.131,0.013,87.624,-5.042e-5,7.084,33.589,864.114,351.654,0.05,0.359
1.251,194.387,100.133,8.806,100.133,8.817,-0.268,6.085e-6,0.268,179.999,0.397,0.43,34,-107,0.999,1.445,-9.021e-9,0.024,-1.477e-6,29.401,6.405,14.08,0.071,1.86,1.657,1.552,0.286,1.396e7,2860.624,30.962,0.463,0.466,0.331,0.043,0.089,0.206,0.309,-2.91e-4,0,0,0,0,0.01,0.001,0.131,0.013,87.205,1.372e-4,7.024,33.56,863.821,351.636,0.05,0.362
1.301,211.167,104.454,8.818,104.456,8.833,-0.185,7.258e-6,0.185,179.998,0.63,0.521,34,-107,0.999,0.962,0,0.025,2.424e-8,29.332,6.336,14.046,0.071,1.872,1.655,1.654,0.298,1.456e7,2861.17,33.61,0.464,0.465,0.331,0.043,0.09,0.133,0.211,3.357e-4,0,0,0,0,0.01,0.001,0.131,0.013,86.759,1.328e-4,7.044,33.531,863.514,351.618,0.05,0.366
1.351,228.657,108.778,8.822,108.781,8.844,-0.059,9.02e-6,0.059,179.991,0.91,0.621,34,-107,0.999,0.372,-6.328e-9,0.026,-5.23e-7,29.262,6.266,14.012,0.071,1.887,1.654,1.782,0.31,1.515e7,2860.098,36.391,0.464,0.464,0.331,0.043,0.09,0.05,0.079,4.315e-4,0,0,0,0,0.01,0.001,0.131,0.013,86.293,2.454e-4,6.844,33.5,863.195,351.6,0.05,0.369
1.401,246.856,113.103,8.824,113.11,8.854,0.117,1.165e-5,0.117,0.006,1.24,0.724,34,-107,0.999,0.194,-7.943e-9,-0.026,-6.018e-8,29.192,6.196,13.977,0.07,1.892,1.652,1.833,0.322,1.575e7,2859.026,39.363,0.465,0.465,0.33,0.043,0.091,0.026,0.057,-4.019e-4,0,0,0,0,-0.009,0.001,0.131,0.013,85.819,6.051e-4,6.64,33.467,862.863,351.58,0.05,0.373
